# started on Tue Jun  2 21:13:53 2020

358187,,cache-references,769852671,100,00,,
21876,,cache-misses,769852671,100,00,6,of all cache refs
# started on Tue Jun  2 21:14:01 2020

2245391,,cache-references,772557486,100,00,,
19219,,cache-misses,772557486,100,00,0,of all cache refs
# started on Tue Jun  2 21:13:54 2020

292563,,cache-references,764884805,100,00,,
17765,,cache-misses,764884805,100,00,6,of all cache refs
# started on Tue Jun  2 21:13:55 2020

6714311,,cache-references,782151621,100,00,,
20004,,cache-misses,782151621,100,00,0,of all cache refs
# started on Tue Jun  2 21:13:56 2020

4652536,,cache-references,772600374,100,00,,
16425,,cache-misses,772600374,100,00,0,of all cache refs
# started on Tue Jun  2 21:13:57 2020

532293,,cache-references,774992918,100,00,,
23680,,cache-misses,774992918,100,00,4,of all cache refs
# started on Tue Jun  2 21:13:57 2020

419273,,cache-references,768103940,100,00,,
41416,,cache-misses,768103940,100,00,9,of all cache refs
# started on Tue Jun  2 21:13:58 2020

382591,,cache-references,761419952,100,00,,
17136,,cache-misses,761419952,100,00,4,of all cache refs
# started on Tue Jun  2 21:13:59 2020

348688,,cache-references,761821951,100,00,,
17558,,cache-misses,761821951,100,00,5,of all cache refs
# started on Tue Jun  2 21:14:00 2020

721951,,cache-references,774142537,100,00,,
32422,,cache-misses,774142537,100,00,4,of all cache refs
